Model,CV RMSE,Test RMSE,Test MAE,Test R2
Random Forest,3.9291478054023146,3.7765562129435897,3.0214067945240624,0.30444555220632663
Gradient Boosting,4.021419185774415,3.8804703823505444,3.0347695347519057,0.2656417616870962
Tuned Random Forest,3.903500772670905,3.9381244577160968,3.16131880539999,0.24365820562556295
Tuned Gradient Boosting,3.9319848917614166,4.025392635662013,3.286866451526304,0.20976598300861837
Linear Regression,4.607035358217457,4.195680802721381,3.395260925801924,0.1414924741119571
